alias,canonical_name,entity_type,parent_company,notes
Interxion,Digital Realty,developer,Digital Realty,Interxion è parte del gruppo Digital Realty
Digital Realty,Digital Realty,developer,Digital Realty,
Vantage,Vantage Data Centers,developer,Vantage Data Centers,
Vantage Data Centers,Vantage Data Centers,developer,Vantage Data Centers,
DATA4,DATA4,developer,DATA4,
Equinix,Equinix,developer,Equinix,
CyrusOne,CyrusOne,developer,CyrusOne,
Microsoft,Microsoft,developer,Microsoft,
Techbau,Techbau,contractor,Techbau,
Mercury,Mercury Engineering,contractor,Mercury Engineering,
Mercury Engineering,Mercury Engineering,contractor,Mercury Engineering,
DBA,DBA Group,engineering,DBA Group,
DBA Group,DBA Group,engineering,DBA Group,
GSE Italia,GSE Italia,contractor,GSE Italia,
Generale Prefabbricati,Generale Prefabbricati,contractor,Generale Prefabbricati,
A2A,A2A Calore,energy_cooling_supplier,A2A Calore,
A2A Calore,A2A Calore,energy_cooling_supplier,A2A Calore,
Retelit,Retelit,developer,Retelit,
Aruba,Aruba,developer,Aruba,
CloudHQ,CloudHQ,developer,CloudHQ,
STACK,STACK Infrastructure,developer,STACK Infrastructure,
STACK Infrastructure,STACK Infrastructure,developer,STACK Infrastructure,
