project,alias,required_context
Aruba Roma Tecnopolo Tiburtino,Aruba,Tecnopolo Tiburtino
Aruba Roma Tecnopolo Tiburtino,Tecnopolo Tiburtino,data center
Apto Lacchiarella,APTO ITALIA,data center
Apto Lacchiarella,Lacchiarella,data center
Stack Campus Siziano,STACK EMEA ITALY,via Marche 8
Stack Campus Siziano,via Marche 8,data center
Equinix ML7-ML8,Equinix,ML7
Equinix ML9,Equinix,ML9
Vantage MXP2,Vantage,Settimo Milanese
CyrusOne MIL1,CyrusOne,Segrate
DATA4 Cornaredo,DATA4,Cornaredo
Retelit Avalon 3,Avalon 3,Retelit
ROM1,Digital Realty,ROM1
