company,category,priority,base_url,search_terms,notes
IDA Italian Datacenter Association,association,high,https://italiandatacenter.com,"soci;associati;partner;data center;datacenter","Fonte relazionale di settore"
Techbau,contractor,high,https://techbau.it,"IDA;Italian Datacenter Association;data center;datacenter","GC già emerso"
GSE Italia,contractor,high,https://gsegroup.it,"IDA;data center;datacenter;Italy","GC/EPC da monitorare"
DBA Group,engineering,high,https://www.dbagroup.it,"IDA;data center;datacenter;campus;progettazione","Engineering / design"
Vantage Data Centers,developer,high,https://vantage-dc.com,"IDA;Italy;Milan;Settimo Milanese;data center","Developer"
DATA4,developer,high,https://www.data4group.com,"IDA;Italy;Milano;Cornaredo;Vittuone","Developer"
Digital Realty,developer,high,https://www.digitalrealty.com,"IDA;Italy;Rome;ROM1;data center","Developer"
Equinix,developer,high,https://www.equinix.com,"IDA;Italy;Milan;ML7;data center","Developer"
CyrusOne,developer,high,https://cyrusone.com,"IDA;Italy;Milan;MIL1;MIL2;data center","Developer"
Microsoft,developer,high,https://www.microsoft.com,"IDA;Italy;Bornasco;datacenter","Developer hyperscale"
Schneider Electric,power_cooling_supplier,medium,https://www.se.com/it/it/,"IDA;data center;cooling;power","Power/cooling supplier"
Vertiv,power_cooling_supplier,medium,https://www.vertiv.com,"IDA;data center;Italy;cooling;power","Power/cooling supplier"
Legrand,power_cooling_supplier,medium,https://www.legrand.it,"IDA;data center;Italy","Power/electrical supplier"
Arup,engineering,medium,https://www.arup.com,"IDA;data center;Italy;engineering","Engineering"
AECOM,engineering,medium,https://aecom.com,"IDA;data center;Italy;construction","Engineering / construction"
Exyte,contractor,medium,https://www.exyte.net,"IDA;data center;Italy;EPC","International DC contractor"
ISG,contractor,medium,https://www.isgltd.com,"IDA;data center;Italy;fit out;construction","International DC contractor"
Mercury Engineering,contractor,medium,https://www.mercuryeng.com,"IDA;data centre;Italy;Milan","MEP contractor"
Dornan,contractor,medium,https://www.dornangroup.com,"IDA;data centre;Italy;Milan","MEP contractor"
Winthrop Technologies,contractor,medium,https://www.wintech-group.com,"IDA;data centre;Italy;Milan","DC contractor"
