source_name,source_type,priority,base_url,search_terms,notes
Techbau,contractor,high,https://techbau.it,"data center;datacenter;Digital Realty;CyrusOne;Milano;Roma","GC già emerso su data center"
GSE Italia,contractor,high,https://gsegroup.it,"data center;datacenter;Italy;Microsoft;Bornasco","Contractor data center da monitorare"
Mercury Engineering,contractor,high,https://www.mercuryeng.com,"data centre;data center;Italy;Milan;Milano;Europe;hyperscale;mission critical;projects;case studies","EPC/MEP data center Europa"
Dornan,contractor,high,https://www.dornangroup.com,"data centre;data center;Italy;Milan;hyperscale","Contractor data center Europa"
Winthrop Technologies,contractor,high,https://www.wintech-group.com,"data centre;data center;Italy;Milan;hyperscale","Contractor data center Europa"
DBA Group,engineering,medium,https://www.dbagroup.it,"data center;datacenter;Avalon;Retelit;Milano","Engineering / design / energy"
Schneider Electric,contractor,medium,https://www.se.com/it/it/,"data center;datacenter;Digital Realty;Roma;Milano","Power/cooling supplier"
DATA4,developer,high,https://www.data4group.com,"Italy;Milano;Vittuone;Cornaredo;data center","Developer/operator"
Vantage Data Centers,developer,high,https://vantage-dc.com,"Italy;Milan;Settimo Milanese;MXP2;data center","Developer/operator"
Microsoft,developer,high,https://www.microsoft.com,"Bornasco;Italy;datacenter;data center","Developer/operator"
Apto,developer,high,https://apto.com,"Lacchiarella;Italy;data center;datacenter","Developer/operator"
Comune Bornasco,municipality,high,https://www.comune.bornasco.pv.it,"data center;datacenter;Microsoft;piano attuativo;permesso;conferenza servizi;impresa","Ente locale"
Comune Settimo Milanese,municipality,high,https://www.comune.settimomilanese.mi.it,"data center;datacenter;Vantage;MXP2;generatori;permesso;conferenza servizi;impresa","Ente locale"
Comune Lacchiarella,municipality,high,https://www.comune.lacchiarella.mi.it,"data center;datacenter;Apto;permesso;conferenza servizi;impresa","Ente locale"
Regione Lombardia,region,high,https://www.regione.lombardia.it,"data center;datacenter;Vantage;Microsoft;Apto;VIA;PAUR;conferenza servizi","Ente regionale"
MASE VIA,public_portal,high,https://va.mite.gov.it,"data center;datacenter;gruppi elettrogeni;VIA;documentazione","Portale nazionale VIA/VAS/AIA"
Terna,grid,high,https://www.terna.it,"data center;datacenter;connessione;RTN;MW;cabina;sottostazione","Connessioni elettriche"
Data Center Dynamics,media,high,https://www.datacenterdynamics.com,"Italy;Milan;Rome;data center;contractor;construction","Media specializzato"
Corriere Comunicazioni,media,medium,https://www.corrierecomunicazioni.it,"data center;Italia;Milano;Roma;costruzione;Techbau","Media italiano"
